Number,Trigger,eventCategory,eventAction,eventLabel
1,Hover on the Explainers drop-down on the top of page navigation (ribbon),Fiscal Data - Sitewide Navigation,Topics Click,<title of explainer / insight page selected>
2,Click on a page within the navigation drop down,Fiscal Data - Sitewide Navigation,Topics Click,<title of explainer / insight page selected>
3,Click on a page within the subnavigation,Fiscal Data - Sitewide Navigation,Left Nav Click,<title of explainer / insight page selected>
4,Click on the link to the MTS,Fiscal Data - Explainers,Citation Click,Revenue - How much has the U.S. government collected this year?
5,"Click on ""Key Takeaways"" in the left nav bar",Fiscal Data - Explainers,Left Nav Click,Revenue - Key  Takeaways
6,"Click on ""Federal Revenue Overview"" in the left nav bar",Fiscal Data - Explainers,Left Nav Click,Revenue - Federal Revenue Overview
7,"Click on ""Sources of Federal Revenue"" in the left nav bar",Fiscal Data - Explainers,Left Nav Click,Revenue - Sources of Federal Revenue
8,"Click on ""Federal Revenue Trends Over Time"" in the left nav bar",Fiscal Data - Explainers,Left Nav Click,Revenue - Federal Revenue Trends Over Time
9,"Click on ""Federal Revenue Compared to GDP"" in the left nav bar",Fiscal Data - Explainers,Left Nav Click,Revenue - Federal Revenue Compared to GDP
10,"Click on the ""Share this page:"" options",Fiscal Data - Explainers,Share Click,Revenue - Share on <title of sharing option>
11,Hover over chart bubbles for Sources of Federal Revenue,Fiscal Data - Explainers,Chart Hover,Revenue - Sources of Federal Revenue
12,Click on the link to the MTS,Fiscal Data - Explainers,Citation Click,Revenue - Sources of Federal Revenue
13,"Click the accordion labeled, ""Why does the Federal Reserve send money to the federal government?""",Fiscal Data - Explainers,Accordian Expand Click,Revenue - Sources of Federal Revenue
14,Click on the link to irs.gov,Fiscal Data - Explainers,Citation Click,Revenue - Sources of Federal Revenue
15,Hover over the chart data for US Federal Revenue Trends Over Time,Fiscal Data - Explainers,Chart Hover,Revenue - Federal Revenue Trends Over Time
16,Click on the link to the MTS,Fiscal Data - Explainers,Citation Click,Revenue - Federal Revenue Trends Over Time
17,Click on the link to the BLS,Fiscal Data - Explainers,Citation Click,Revenue - Federal Revenue Trends Over Time
18,"In the chart, click to toggle to Total Revenue",Fiscal Data - Explainers,Chart Click,Revenue - Federal Revenue Trends and the U.S. Economy
19,"In the chart, click to toggle to Percentage of GDP",Fiscal Data - Explainers,Chart Click,Revenue - Federal Revenue Trends and the U.S. Economy
20,Hover over the chart data points for Government Revenue and the U.S. Economy,Fiscal Data - Explainers,Chart Hover,Revenue - Federal Revenue Trends and the U.S. Economy
21,Click on the link to the MTS,Fiscal Data - Explainers,Citation Click,Revenue - Federal Revenue Trends and the U.S. Economy
22,Click on the link to gps.gov,Fiscal Data - Explainers,Citation Click,Revenue - Federal Revenue Trends and the U.S. Economy
23,"Click the accordion labeled, ""Data Sources and Methodologies""",Fiscal Data - Explainers,Accordian Expand Click,Revenue - DS&M
24,Click on the link to the MTS,Fiscal Data - Explainers,Citation Click,Revenue - DS&M
25,Click on the link to the BLS,Fiscal Data - Explainers,Citation Click,Revenue - DS&M
26,Click on the link to the BEA,Fiscal Data - Explainers,Citation Click,Revenue - DS&M
27,Click on the link to the GitHub repository,Fiscal Data - Explainers,Citation Click,Revenue - DS&M
28,Click on the link to the MTS Dataset,Fiscal Data - Explainers,Citation Click,Revenue - Related Datasets
29,Click on the link to the Treasury Reporting Rates of Exchange Dataset,Fiscal Data - Explainers,Citation Click,Revenue - Related Datasets
30,Click on the link to the U.S. Government Collections dataset,Fiscal Data - Explainers,Citation Click,Revenue - Related Datasets
31,Click on the link to the Financial Report of the U.S. Government dataset,Fiscal Data - Explainers,Citation Click,Revenue - Related Datasets
32,Click on the link to the Deficit page,Fiscal Data - Explainers,Citation Click,Revenue - Federal Revenue Overview
33,Click on the link to the spending page,Fiscal Data - Explainers,Citation Click,Revenue - Federal Revenue Overview
